                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8779,                 4.0586,                 1.7455,                0.00801,                    0.8,                0.05759,                0.03139,                 1.5668,                 3.9132,                 1.7391,              9.999e-05,              9.999e-05,              9.999e-05
                      2,                 1.0037,                 3.2054,                 1.2494,                0.00443,                      1,                 0.1861,                0.14529,                0.48679,                 3.2831,                 1.0203,             0.00021005,             0.00021005,             0.00021005
                      3,                  0.738,                 2.4222,                 1.0777,                0.00542,                   0.92,                0.16336,                 0.1191,                 1.0992,                 2.9391,                 1.2906,               0.000319,               0.000319,               0.000319
                      4,                0.69925,                 2.2251,                 1.0512,                0.24241,                   0.48,                0.24447,                 0.1903,                0.80017,                 2.2155,                 1.1821,             0.00042686,             0.00042686,             0.00042686
                      5,                0.65863,                 2.1087,                 1.0201,                0.14242,                0.26381,                 0.2155,                0.13058,                 1.0789,                 2.7535,                 1.4702,             0.00053361,             0.00053361,             0.00053361
                      6,                0.67594,                 2.0372,                 1.0233,                0.46434,                0.42534,                0.24192,                0.17586,                0.87235,                 3.1813,                 1.2975,             0.00063927,             0.00063927,             0.00063927
                      7,                0.65196,                 1.9378,                 1.0193,                0.46789,                    0.5,                0.24936,                0.17003,                0.96254,                 2.8921,                 1.2222,             0.00074382,             0.00074382,             0.00074382
                      8,                0.65548,                 1.9092,                 1.0172,                0.50962,                0.48164,                0.24493,                0.10629,                 1.3888,                 3.6069,                 1.5833,             0.00084728,             0.00084728,             0.00084728
                      9,                0.68194,                 1.8425,                 1.0319,                0.38839,                0.45636,                0.29802,                0.19869,                 1.0811,                  2.408,                 1.4398,             0.00094963,             0.00094963,             0.00094963
                     10,                0.67194,                 1.7868,                 1.0193,                0.21372,                0.66209,                 0.2644,                0.19783,                0.72598,                 2.0672,                 1.2448,              0.0010509,              0.0010509,              0.0010509
                     11,                0.66493,                 1.7275,                 1.0107,                0.34122,                0.32363,                0.18224,                0.09614,                 1.3716,                 5.0996,                 1.7636,               0.001056,               0.001056,               0.001056
                     12,                0.66485,                 1.6696,                 1.0126,                0.24789,                0.66076,                0.32089,                0.24215,                0.80803,                 1.8407,                  1.241,               0.001056,               0.001056,               0.001056
                     13,                0.64949,                 1.6537,                 1.0073,                0.20757,                0.63481,                0.28806,                0.20705,                0.77844,                 1.9784,                 1.1745,              0.0010505,              0.0010505,              0.0010505
                     14,                 0.6238,                 1.6071,                 1.0045,                0.18351,                0.69054,                0.27023,                0.18159,                0.86365,                 1.8963,                 1.3409,               0.001045,               0.001045,               0.001045
                     15,                0.63507,                   1.57,                 1.0009,                0.19863,                    0.6,                0.29918,                 0.1882,                0.99724,                 2.1677,                 1.3868,              0.0010395,              0.0010395,              0.0010395
