                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5083,                 3.7275,                 1.5389,                0.00551,                      1,                 0.1394,                0.09986,                0.56757,                 3.3259,                  1.092,             0.00019998,             0.00019998,             0.00019998
                      2,                0.76235,                 2.4257,                 1.0921,                0.17207,                   0.62,                0.27186,                 0.2185,                0.65675,                 2.1089,                  1.214,             0.00040904,             0.00040904,             0.00040904
                      3,                0.72679,                 2.1752,                 1.0554,                0.20137,                    0.6,                0.30041,                0.24069,                 0.6532,                 2.4635,                 1.0997,               0.000616,               0.000616,               0.000616
                      4,                0.73896,                 2.0324,                 1.0636,                0.17235,                0.74386,                 0.2265,                0.16095,                0.96218,                 2.6651,                 1.5199,             0.00082088,             0.00082088,             0.00082088
                      5,                0.75755,                 1.9447,                 1.0603,                0.19177,                   0.34,                0.25978,                0.13039,                 1.1578,                 3.1524,                 1.7502,              0.0010237,              0.0010237,              0.0010237
                      6,                0.74652,                 1.8213,                 1.0475,                0.66947,                   0.08,                0.14205,                 0.0785,                 2.6059,                 2.9511,                 2.6227,              0.0010835,              0.0010835,              0.0010835
                      7,                0.73744,                 1.7396,                 1.0475,                0.26526,                0.69577,                0.33032,                0.26667,                0.67102,                 1.8408,                 1.1262,              0.0010835,              0.0010835,              0.0010835
                      8,                0.69431,                 1.6564,                 1.0229,                0.13212,                 0.7048,                0.22466,                0.18705,                0.60568,                 2.0901,                 1.0195,               0.001078,               0.001078,               0.001078
                      9,                0.68331,                 1.5976,                 1.0252,                0.18399,                   0.64,                0.23683,                0.20534,                0.59631,                  2.086,                 1.0177,              0.0010725,              0.0010725,              0.0010725
                     10,                  0.671,                 1.5544,                 1.0152,                0.17737,                 0.7249,                0.31201,                0.26436,                0.58705,                 3.4233,                 1.0288,               0.001067,               0.001067,               0.001067
                     11,                0.65024,                  1.516,                 1.0039,                0.15334,                   0.76,                0.27905,                0.23859,                0.57646,                 1.8846,                 1.0263,              0.0010615,              0.0010615,              0.0010615
                     12,                0.63721,                 1.4802,                  1.006,                0.30828,                    0.4,                0.22756,                0.19089,                0.80888,                 8.2926,                 1.1311,               0.001056,               0.001056,               0.001056
                     13,                 0.6349,                 1.4736,                 1.0019,                0.23159,                0.83279,                0.36847,                0.31878,                 0.5627,                 1.4595,                0.96453,              0.0010505,              0.0010505,              0.0010505
                     14,                0.61176,                 1.4245,                0.99471,                0.34354,                0.68191,                0.25898,                0.21475,                0.65619,                 2.2847,                 1.0602,               0.001045,               0.001045,               0.001045
                     15,                0.61536,                 1.4252,                0.99447,                0.36621,                   0.74,                0.31998,                0.21155,                 1.2755,                   2.32,                 1.3465,              0.0010395,              0.0010395,              0.0010395
                     16,                0.59796,                 1.3966,                0.98203,                0.21682,                   0.88,                0.32342,                0.27899,                0.57688,                 1.6023,                0.96517,               0.001034,               0.001034,               0.001034
                     17,                 0.6101,                 1.3921,                0.99653,                0.08597,                   0.78,                0.17739,                0.13659,                 1.1257,                 4.4375,                 1.5292,              0.0010285,              0.0010285,              0.0010285
                     18,                0.60924,                 1.3789,                0.99487,                0.27601,                0.69373,                0.45094,                0.39926,                0.55776,                 1.7312,                  0.977,               0.001023,               0.001023,               0.001023
                     19,                 0.5838,                 1.3459,                0.98347,                0.21705,                0.78183,                0.41674,                 0.3549,                0.61832,                 1.4808,                0.95744,              0.0010175,              0.0010175,              0.0010175
                     20,                0.55363,                 1.3389,                0.96369,                0.23588,                0.72036,                0.40238,                0.34261,                0.50352,                 1.7589,                0.93971,               0.001012,               0.001012,               0.001012
                     21,                 0.5665,                 1.3207,                0.96859,                0.28831,                   0.86,                0.42659,                0.34807,                0.69958,                 1.5206,                 1.0112,              0.0010065,              0.0010065,              0.0010065
                     22,                0.57564,                 1.3188,                0.97593,                0.29771,                0.75412,                0.44966,                0.35292,                 0.7386,                 1.4085,                 1.0211,               0.001001,               0.001001,               0.001001
                     23,                0.56439,                 1.2753,                0.97427,                  0.327,                   0.68,                0.31287,                0.27247,                0.58337,                 1.9187,                0.97523,             0.00099551,             0.00099551,             0.00099551
                     24,                 0.5668,                 1.2926,                0.97285,                0.30291,                 0.7837,                0.49449,                0.43705,                0.57103,                 1.3793,                0.94568,             0.00099001,             0.00099001,             0.00099001
                     25,                0.54645,                 1.2735,                0.96578,                0.33403,                0.59878,                0.46494,                0.42995,                0.43249,                 1.4858,                0.89745,             0.00098451,             0.00098451,             0.00098451
                     26,                0.55817,                  1.272,                0.96544,                0.27104,                 0.7303,                0.44726,                0.39066,                0.51447,                 1.4788,                0.96628,             0.00097901,             0.00097901,             0.00097901
                     27,                0.54896,                 1.2502,                0.96771,                0.38932,                0.82328,                 0.4804,                0.43207,                0.46129,                 1.5254,                0.92748,             0.00097351,             0.00097351,             0.00097351
                     28,                0.53534,                 1.2546,                0.96198,                0.24749,                0.86295,                0.48151,                0.42331,                0.50947,                 1.5182,                0.91845,             0.00096801,             0.00096801,             0.00096801
                     29,                0.52324,                 1.2207,                0.95731,                0.41733,                   0.46,                0.35668,                0.31583,                0.57303,                  1.949,                   1.01,             0.00096251,             0.00096251,             0.00096251
                     30,                0.52606,                 1.2022,                0.95809,                0.31297,                0.87551,                0.51994,                0.48562,                0.40861,                 1.2695,                0.89168,             0.00095702,             0.00095702,             0.00095702
                     31,                 0.5289,                 1.1924,                0.96003,                0.36287,                0.87555,                0.54591,                0.50376,                0.40768,                 1.2908,                0.89288,             0.00095152,             0.00095152,             0.00095152
                     32,                0.53667,                  1.185,                0.96388,                 0.2279,                   0.96,                 0.4002,                0.36631,                0.51058,                 2.6028,                 0.9362,             0.00094602,             0.00094602,             0.00094602
                     33,                0.54473,                 1.1654,                0.95735,                0.37253,                   0.72,                 0.5643,                0.50271,                0.46547,                 1.1533,                0.90659,             0.00094052,             0.00094052,             0.00094052
                     34,                0.51786,                  1.131,                0.95368,                0.38145,                 0.8729,                0.53265,                0.46333,                0.54071,                 1.5208,                 0.9317,             0.00093502,             0.00093502,             0.00093502
                     35,                0.52034,                 1.1073,                0.95437,                 0.3365,                   0.72,                0.54478,                0.50095,                0.40687,                 1.3044,                0.90322,             0.00092952,             0.00092952,             0.00092952
                     36,                0.51136,                 1.1136,                0.95321,                0.34549,                0.56078,                0.44192,                0.40311,                0.44596,                 2.0657,                0.88683,             0.00092402,             0.00092402,             0.00092402
                     37,                0.50659,                  1.091,                0.95396,                0.38238,                0.78512,                0.57377,                0.52729,                0.44287,                 1.7331,                0.90675,             0.00091852,             0.00091852,             0.00091852
                     38,                0.50715,                 1.0874,                0.94934,                0.40536,                0.63672,                0.55475,                0.50386,                0.42715,                  1.357,                0.91948,             0.00091302,             0.00091302,             0.00091302
                     39,                 0.5051,                 1.0873,                0.95547,                0.32508,                   0.76,                0.51044,                 0.4458,                0.55578,                 1.2389,                 0.9362,             0.00090752,             0.00090752,             0.00090752
                     40,                0.51606,                 1.0802,                0.95085,                0.28946,                0.77468,                0.56951,                0.51239,                0.51285,                 1.2009,                  0.969,             0.00090202,             0.00090202,             0.00090202
                     41,                0.51662,                 1.0496,                 0.9552,                 0.3717,                  0.807,                0.52398,                0.47337,                0.48303,                 1.3678,                0.91018,             0.00089652,             0.00089652,             0.00089652
                     42,                 0.5037,                 1.0559,                0.95354,                0.44912,                0.76183,                 0.6197,                0.57482,                0.40387,                 1.1687,                0.89372,             0.00089102,             0.00089102,             0.00089102
                     43,                0.49896,                 1.0239,                 0.9456,                0.66459,                    0.5,                0.57291,                0.51827,                0.49742,                 1.4307,                 0.9252,             0.00088552,             0.00088552,             0.00088552
                     44,                0.50841,                 1.0217,                 0.9519,                0.44631,                 0.7078,                0.57465,                0.52789,                0.45862,                 1.8481,                0.88638,             0.00088002,             0.00088002,             0.00088002
